Team,Pressing Intensity,Pressing Resistance,Possession,Field tilt %,Tempo,Directness,Defensive height,Crossing,Air duels,Set Pieces,Dribbling,Width,Shot_Distance,Aggression,Box_Focus,Main_Style,Tactical_Profile
fulham,53.69383092155369,63.19101123595506,76.57393850658859,72.861757443338,94.43578298336087,76.11664731651389,83.51714706501157,85.03937007874016,70.57654075546719,76.04166666666667,73.2439402020537,81.1145806044455,16.4,77.3472713037222,90.85365853658539,Wing-Play,Cross-Heavy & Wing Play
genoa,73.20872274143302,35.73033707865169,66.76427525622255,57.6919325799365,89.5892288693127,83.71749936375429,89.38903061224491,61.417322834645674,90.25844930417495,83.33333333333333,69.18788184808176,75.55480927302685,17.7,85.12934767205681,84.18079096045197,Kick and Rush,Aerial & Set-Piece
getafe,70.07952286282305,28.314606741573034,61.20058565153734,78.78532607162089,83.9590135710047,99.99999999999999,85.22990033222592,81.88976377952756,100.0,97.91666666666667,98.60426388750753,100.0,19.4,100.0,76.80412371134021,Kick and Rush,Aerial & Wing Play
girona,45.483870967741936,44.449438202247194,82.43045387994144,71.71195332066873,97.57569339293349,70.47098038589094,84.79914637208135,68.50393700787401,44.06891981444665,62.5,69.52253226669936,67.33121535469489,17.7,86.03629923600967,84.18079096045197,Possession,Control & High Tempo
hoffenheim,84.43113772455091,65.61797752808988,71.30307467057101,70.7814007012346,91.69338851608727,85.78405445059192,83.3187969924812,95.04400185270958,77.20344599072233,77.08333333333333,67.47086919088348,79.4810713138735,17.7,79.00886820290194,84.18079096045197,Wing-Play,Cross-Heavy & Intense Press
juventus,69.8019801980198,69.12359550561797,83.74816983894583,72.24458492150937,96.3627228950404,70.54461479259024,86.36115040075438,52.755905511811015,60.9012591119947,62.5,71.82791364360041,53.18198841865692,17.3,93.33990464784308,86.1271676300578,Possession,Press Resistant & Aggressive
lazio,48.35390946502058,49.79775280898876,80.67349926793558,75.91358991778745,96.24710974235417,73.5327888058554,84.51868131868133,80.31496062992126,63.88336646785951,69.79166666666667,74.46874318845634,79.32428258738537,17.7,86.71029364483978,84.18079096045197,Wing-Play,Cross-Heavy & Wing Play
le havre,65.03690036900369,51.28089887640449,63.103953147877014,58.43492941551839,89.8225961944602,79.27661019427629,80.14285714285715,74.80314960629921,58.780649436713055,59.375,78.36162390171769,88.24668379366439,17.8,72.41935241039435,83.70786516853931,Wing-Play,Wing Play & Cross-Heavy
lecce,60.98615916955017,36.85393258426966,64.12884333821377,60.27578061983689,88.75004113138944,85.71911924991596,79.26065162907268,73.22834645669292,87.93903247183566,80.20833333333333,77.38944717165568,74.60212965447653,19.3,85.55395898528852,77.2020725388601,Kick and Rush,Aerial & Cross-Heavy
lens,63.57078449053201,51.50561797752809,79.20937042459737,79.82810361322481,93.77635010846353,80.79140502123145,89.93965110796793,88.00370541917555,57.25646123260437,72.91666666666667,72.23013537566263,69.62617646257465,16.7,88.5287703913556,89.22155688622755,Wing-Play,Cross-Heavy & Field tilt %
lille,70.92555331991952,60.49438202247191,84.33382137628112,82.59399729141049,96.94178575230183,72.05557856865676,93.53263350068461,61.602593793422876,49.171636845593106,64.58333333333333,70.67370926618939,48.60323703336247,16.6,79.36183138581673,89.7590361445783,Possession,Field tilt % & Control
liverpool,73.20872274143302,65.30337078651685,84.48023426061494,83.28693518672634,96.08210894754427,75.7922108988058,89.62527814864264,65.35433070866141,51.29224652087475,72.91666666666667,71.90199964635154,60.04861954580706,15.9,79.34771282692508,93.71069182389937,Possession,Press Resistant & Field tilt %
